Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters,error
FingerMovements,Local IFCM,Majority Vote,10,0.547619048,0.54805492,0.547619048,0.546590909,10,
FingerMovements,Local IFCM,Min Move,10,0.55952381,0.579365079,0.55952381,0.53015873,10,
FingerMovements,Local IFCM,Turn Vote,12,0.571428571,0.572916667,0.571428571,0.569230769,12,
FingerMovements,Local IFCM,Majority Vote,12,0.571428571,0.572916667,0.571428571,0.569230769,12,
FingerMovements,Local IFCM,Min Move,12,0.571428571,0.580357143,0.571428571,0.559183673,12,
FingerMovements,Local IFCM,Turn Vote,14,0.55952381,0.571186441,0.55952381,0.54071228,14,
FingerMovements,Local IFCM,Majority Vote,14,0.55952381,0.571186441,0.55952381,0.54071228,14,
FingerMovements,Local IFCM,Min Move,14,0.55952381,0.585020243,0.55952381,0.523824115,14,
FingerMovements,Local IFCM,Turn Vote,16,0.523809524,0.523863636,0.523809524,0.523539421,16,
FingerMovements,Local IFCM,Majority Vote,16,0.523809524,0.523863636,0.523809524,0.523539421,16,
FingerMovements,Local IFCM,Min Move,16,0.55952381,0.574839629,0.55952381,0.535772965,16,
FingerMovements,Local IFCM,Turn Vote,18,0.523809524,0.529166667,0.523809524,0.500891266,18,
FingerMovements,Local IFCM,Majority Vote,18,0.535714286,0.536227717,0.535714286,0.534063433,18,
FingerMovements,Local IFCM,Min Move,18,0.547619048,0.558333333,0.547619048,0.525846702,18,
FingerMovements,Local IFCM,Turn Vote,20,0.583333333,0.587344029,0.583333333,0.578494624,20,
FingerMovements,Local IFCM,Majority Vote,20,0.583333333,0.587344029,0.583333333,0.578494624,20,
FingerMovements,Local IFCM,Min Move,20,0.55952381,0.574839629,0.55952381,0.535772965,20,
FingerMovements,FCM,Turn Vote,2,0.511904762,0.512244898,0.511904762,0.508491508,2,
FingerMovements,FCM,Majority Vote,2,0.523809524,0.524705882,0.523809524,0.519450801,2,
FingerMovements,FCM,Min Move,2,0.523809524,0.524705882,0.523809524,0.519450801,2,
FingerMovements,FCM,Turn Vote,4,0.523809524,0.523863636,0.523809524,0.523539421,4,
FingerMovements,FCM,Majority Vote,4,0.511904762,0.511911514,0.511904762,0.511835578,4,
FingerMovements,FCM,Min Move,4,0.5,0.5,0.5,0.415119363,4,
FingerMovements,FCM,Turn Vote,6,0.488095238,0.486354776,0.488095238,0.47123408,6,
FingerMovements,FCM,Majority Vote,6,0.488095238,0.486354776,0.488095238,0.47123408,6,
FingerMovements,FCM,Min Move,6,0.5,0.5,0.5,0.415119363,6,
FingerMovements,FCM,Turn Vote,8,0.452380952,0.446428571,0.452380952,0.436734694,8,
FingerMovements,FCM,Majority Vote,8,0.452380952,0.446428571,0.452380952,0.436734694,8,
FingerMovements,FCM,Min Move,8,0.488095238,0.481562774,0.488095238,0.438345514,8,
FingerMovements,FCM,Turn Vote,10,0.547619048,0.547727273,0.547619048,0.54736245,10,
FingerMovements,FCM,Majority Vote,10,0.55952381,0.559557572,0.55952381,0.559461375,10,
FingerMovements,FCM,Min Move,10,0.476190476,0.464646465,0.476190476,0.42962963,10,
FingerMovements,FCM,Turn Vote,12,0.511904762,0.512244898,0.511904762,0.508491508,12,
FingerMovements,FCM,Majority Vote,12,0.511904762,0.512244898,0.511904762,0.508491508,12,
FingerMovements,FCM,Min Move,12,0.476190476,0.457142857,0.476190476,0.410714286,12,
FingerMovements,FCM,Turn Vote,14,0.511904762,0.512075906,0.511904762,0.51016925,14,
FingerMovements,FCM,Majority Vote,14,0.511904762,0.512075906,0.511904762,0.51016925,14,
FingerMovements,FCM,Min Move,14,0.476190476,0.4671875,0.476190476,0.437614121,14,
FingerMovements,FCM,Turn Vote,16,0.547619048,0.54805492,0.547619048,0.546590909,16,
FingerMovements,FCM,Majority Vote,16,0.535714286,0.536227717,0.535714286,0.534063433,16,
FingerMovements,FCM,Min Move,16,0.452380952,0.434375,0.452380952,0.412051126,16,
FingerMovements,FCM,Turn Vote,18,0.523809524,0.524305556,0.523809524,0.521367521,18,
FingerMovements,FCM,Majority Vote,18,0.523809524,0.524705882,0.523809524,0.519450801,18,
FingerMovements,FCM,Min Move,18,0.452380952,0.434375,0.452380952,0.412051126,18,
FingerMovements,FCM,Turn Vote,20,0.488095238,0.488034188,0.488095238,0.487441464,20,
FingerMovements,FCM,Majority Vote,20,0.476190476,0.475694444,0.476190476,0.473504274,20,
FingerMovements,FCM,Min Move,20,0.5,0.5,0.5,0.469951923,20,
FingerMovements,KNN,Majority Vote,0,0.607142857,0.60720363,0.607142857,0.607087172,3,
FingerMovements,KNN,Majority Vote,0,0.571428571,0.583554377,0.571428571,0.555294118,4,
FingerMovements,KNN,Majority Vote,0,0.583333333,0.583380601,0.583333333,0.583274274,5,
FingerMovements,KNN,Majority Vote,0,0.583333333,0.592163009,0.583333333,0.573108756,6,
FingerMovements,KNN,Majority Vote,0,0.523809524,0.523863636,0.523809524,0.523539421,7,
FingerMovements,KNN,Majority Vote,0,0.547619048,0.551851852,0.547619048,0.538194444,8,
FingerMovements,KNN,Majority Vote,0,0.547619048,0.547727273,0.547619048,0.54736245,9,
FingerMovements,KNN,Majority Vote,0,0.55952381,0.562388592,0.55952381,0.554408602,10,
FingerMovements,KNN,Majority Vote,0,0.535714286,0.535734543,0.535714286,0.535648476,11,
FingerMovements,KNN,Majority Vote,0,0.571428571,0.574117647,0.571428571,0.567505721,12,
FingerMovements,KNN,Majority Vote,0,0.535714286,0.535734543,0.535714286,0.535648476,13,
FingerMovements,KNN,Majority Vote,0,0.547619048,0.549411765,0.547619048,0.543478261,14,
FingerMovements,KNN,Majority Vote,0,0.523809524,0.523863636,0.523809524,0.523539421,15,
FingerMovements,Local DISSFCM,Turn Vote,20,0.583333333,0.589470481,0.583333333,0.576063446,2,0.01
FingerMovements,Local DISSFCM,Majority Vote,20,0.583333333,0.589470481,0.583333333,0.576063446,2,0.01
FingerMovements,Local DISSFCM,Min Move,21,0.535714286,0.759259259,0.535714286,0.408130081,2,0.01
FingerMovements,Local DISSFCM,Turn Vote,18,0.547619048,0.547619048,0.547619048,0.547619048,2,0.1
FingerMovements,Local DISSFCM,Majority Vote,18,0.547619048,0.547619048,0.547619048,0.547619048,2,0.1
FingerMovements,Local DISSFCM,Min Move,12,0.535714286,0.538344492,0.535714286,0.527613554,2,0.1
FingerMovements,Local DISSFCM,Turn Vote,16,0.523809524,0.529166667,0.523809524,0.500891266,2,1
FingerMovements,Local DISSFCM,Majority Vote,16,0.511904762,0.514967926,0.511904762,0.485586258,2,1
FingerMovements,Local DISSFCM,Min Move,3,0.523809524,0.556756757,0.523809524,0.442970822,2,1
FingerMovements,Local DISSFCM,Turn Vote,18,0.523809524,0.529166667,0.523809524,0.500891266,2,10
FingerMovements,Local DISSFCM,Majority Vote,18,0.523809524,0.529166667,0.523809524,0.500891266,2,10
FingerMovements,Local DISSFCM,Min Move,2,0.523809524,0.523863636,0.523809524,0.523539421,2,10
FingerMovements,Local DISSFCM,Turn Vote,22,0.595238095,0.598823529,0.595238095,0.591533181,4,0.01
FingerMovements,Local DISSFCM,Majority Vote,22,0.595238095,0.598823529,0.595238095,0.591533181,4,0.01
FingerMovements,Local DISSFCM,Min Move,4,0.523809524,0.525240385,0.523809524,0.516963772,4,0.01
FingerMovements,Local DISSFCM,Turn Vote,26,0.619047619,0.619047619,0.619047619,0.619047619,4,0.1
FingerMovements,Local DISSFCM,Majority Vote,26,0.642857143,0.643181818,0.642857143,0.642654566,4,0.1
FingerMovements,Local DISSFCM,Min Move,4,0.547619048,0.549411765,0.547619048,0.543478261,4,0.1
