Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8191256830601094,0.819672131147541,0.8142265660637622,15
RacketSports,Local DISSFCM,Turn Vote,37,0.5901639344262295,0.6616565599465543,0.5901639344262295,0.5757398961885587,4,0.01
RacketSports,Local DISSFCM,Majority Vote,37,0.5573770491803278,0.6738225344782721,0.5573770491803278,0.5633213007457138,4,0.01
RacketSports,Local DISSFCM,Min Move,27,0.6065573770491803,0.5848764639041631,0.6065573770491803,0.5494990892531876,4,0.01
RacketSports,Local DISSFCM,Turn Vote,4,0.4426229508196721,0.3511319281811085,0.4426229508196721,0.3897831067210139,4,0.1
RacketSports,Local DISSFCM,Majority Vote,41,0.4918032786885246,0.67843631778058,0.4918032786885246,0.4783417751393353,4,0.1
RacketSports,Local DISSFCM,Min Move,4,0.6557377049180327,0.6565238232192503,0.6557377049180327,0.644651113913409,4,0.1
RacketSports,Local DISSFCM,Turn Vote,4,0.45901639344262296,0.3843047965998786,0.45901639344262296,0.41128573953583486,4,1
RacketSports,Local DISSFCM,Majority Vote,4,0.45901639344262296,0.3843047965998786,0.45901639344262296,0.41128573953583486,4,1
RacketSports,Local DISSFCM,Min Move,31,0.6065573770491803,0.6995123097714319,0.6065573770491803,0.5773763667520966,4,1
RacketSports,Local DISSFCM,Turn Vote,4,0.47540983606557374,0.46512883647594977,0.47540983606557374,0.43995178399228546,4,10
RacketSports,Local DISSFCM,Majority Vote,4,0.47540983606557374,0.46512883647594977,0.47540983606557374,0.43995178399228546,4,10
RacketSports,Local DISSFCM,Min Move,4,0.5081967213114754,0.5310407977437276,0.5081967213114754,0.4913470251175169,4,10
RacketSports,Local DISSFCM,Turn Vote,46,0.6557377049180327,0.6710382513661202,0.6557377049180327,0.6127066173272578,8,0.01
RacketSports,Local DISSFCM,Majority Vote,43,0.6557377049180327,0.6665729898516783,0.6557377049180327,0.6336591800061584,8,0.01
RacketSports,Local DISSFCM,Min Move,9,0.45901639344262296,0.47002717629525737,0.45901639344262296,0.40834068314214195,8,0.01
RacketSports,Local DISSFCM,Turn Vote,47,0.4918032786885246,0.7246950057186429,0.4918032786885246,0.4691378918386421,8,0.1
RacketSports,Local DISSFCM,Majority Vote,50,0.5245901639344263,0.6753040719196193,0.5245901639344263,0.5080362748517614,8,0.1
RacketSports,Local DISSFCM,Min Move,25,0.6885245901639344,0.6897185103549617,0.6885245901639344,0.6745948954883242,8,0.1
RacketSports,Local DISSFCM,Turn Vote,8,0.4426229508196721,0.5106221101303069,0.4426229508196721,0.44830884335908133,8,1
RacketSports,Local DISSFCM,Majority Vote,45,0.45901639344262296,0.5950111649692282,0.45901639344262296,0.43027384149918185,8,1
RacketSports,Local DISSFCM,Min Move,24,0.5737704918032787,0.6429872495446266,0.5737704918032787,0.5551790114953086,8,1
RacketSports,Local DISSFCM,Turn Vote,26,0.45901639344262296,0.5145462059637567,0.45901639344262296,0.4277154944473823,8,10
